ID,Default,Loan_type,Gender,Age,Degree,Income,Credit_score,Loan_length,Signers,Citizenship
4207,0,Home,Male,35,HS,80675,569,7,2,Citizen
4177,0,Home,Male,40,HS,54885,519,7,2,Citizen
4208,0,Car,Male,47,HS,95629,634,2,2,Citizen
4082,0,Car,Male,36,College,98639,685,1,2,Citizen
4160,0,Car,Female,40,HS,97157,638,0,2,Citizen
4095,0,Car,Male,42,HS,89144,659,0,2,Citizen
4043,0,Car,Female,52,College,97185,606,3,2,Citizen
4118,1,Car,Female,48,College,119099,622,2,2,Citizen
4107,0,Home,Female,41,College,89500,638,10,2,Citizen
4056,0,Home,Male,36,College,120913,617,13,2,Citizen
4169,1,Car,Female,45,Graduate,114196,664,3,2,Citizen
4124,0,Car,Female,44,Graduate,87956,729,3,2,Citizen
4182,0,Car,Male,40,College,90968,564,0,2,Citizen
4064,1,Car,Female,39,Graduate,123493,798,0,2,Non-citizen
4163,1,Car,Female,50,College,125988,608,1,2,Citizen
4083,0,Car,Male,40,HS,99665,623,1,2,Citizen
4047,0,Home,Male,34,HS,112809,668,3,2,Citizen
4071,0,Home,Female,46,HS,107208,614,8,2,Citizen
4150,0,Car,Male,43,HS,92531,693,2,2,Citizen
4168,1,Home,Male,52,HS,113996,642,3,2,Citizen
4057,0,Home,Male,37,HS,74970,596,8,2,Citizen
4128,0,Home,Female,44,HS,74806,517,8,2,Citizen
4059,0,Home,Male,43,HS,74827,548,10,2,Citizen
4213,0,Car,Male,35,HS,97350,610,2,1,Citizen
4212,1,Car,Male,40,College,90413,596,1,2,Citizen
4192,0,Car,Female,39,HS,100498,633,0,2,Citizen
4035,0,Car,Male,56,HS,94831,675,1,1,Citizen
4118,1,Car,Female,48,College,119099,622,2,2,Citizen
4098,0,Home,Male,55,HS,98377,730,4,2,Citizen
4218,0,Car,Male,34,HS,81474,586,1,2,Citizen
4050,0,Home,Female,39,HS,114416,614,2,2,Citizen
4138,0,Home,Female,37,College,113605,502,9,2,Citizen
4088,0,Car,Male,38,HS,117226,540,2,2,Citizen
4163,1,Car,Female,50,College,125988,608,1,2,Citizen
4183,0,Home,Male,38,HS,78890,581,3,2,Citizen
4214,0,Car,Female,48,College,101683,671,2,1,Citizen
4198,0,Home,Female,31,HS,54687,564,2,2,Citizen
4143,0,Car,Male,38,College,99184,607,2,2,Citizen
4092,0,Car,Female,39,HS,106004,678,0,2,Citizen
4063,0,Car,Female,41,HS,106656,659,0,2,Citizen
4118,1,Car,Female,48,College,119099,622,2,2,Citizen
4127,0,Car,Male,38,HS,97391,593,0,2,Citizen
4196,0,Home,Male,43,HS,89854,672,6,1,Citizen
4165,0,Car,Male,43,College,94990,677,3,2,Citizen
4169,1,Car,Female,45,Graduate,114196,664,3,2,Citizen
4036,0,Car,Male,51,HS,85545,608,1,2,Citizen
4176,0,Car,Male,38,HS,69189,599,0,2,Citizen
4118,1,Car,Female,48,College,119099,622,2,2,Citizen
4061,0,Car,Female,41,HS,86104,545,0,2,Citizen
4174,1,Car,Male,45,College,94922,668,1,2,Citizen
4025,1,Car,Male,53,College,105272,734,1,2,Citizen
4073,0,Car,Female,42,Graduate,126308,682,2,2,Non-citizen
4055,0,Home,Male,31,HS,91724,589,1,2,Citizen
4137,0,Car,Male,41,College,102417,708,2,2,Citizen
4168,1,Home,Male,52,HS,113996,642,3,2,Citizen
4209,0,Car,Male,45,College,86656,609,2,2,Citizen
4168,1,Home,Male,52,HS,113996,642,3,2,Citizen
4096,0,Car,Female,47,Graduate,77577,615,2,2,Citizen
4147,0,Home,Male,45,HS,98440,605,5,2,Citizen
4210,0,Car,Male,43,HS,96256,614,2,2,Citizen
4194,0,Car,Male,52,HS,68124,594,2,2,Citizen
4025,1,Car,Male,53,College,105272,734,1,2,Citizen
4202,0,Home,Male,43,College,109095,618,13,2,Citizen
4064,1,Car,Female,39,Graduate,123493,798,0,2,Non-citizen
4184,0,Car,Female,57,Graduate,100398,687,3,2,Citizen
4099,0,Home,Female,34,College,66984,663,4,1,Citizen
4148,0,Home,Male,60,HS,92043,709,5,2,Citizen
4168,1,Home,Male,52,HS,113996,642,3,2,Citizen
4086,0,Car,Female,33,College,90520,582,0,2,Citizen
4021,0,Car,Male,33,HS,78993,510,0,2,Citizen
4048,0,Car,Female,44,Graduate,113643,561,2,2,Citizen
4076,0,Car,Male,35,HS,97153,591,0,2,Citizen
4112,0,Car,Male,41,HS,64427,491,1,2,Citizen
4038,1,Home,Female,52,HS,124766,651,5,1,Non-citizen
4206,0,Home,Female,48,HS,106373,609,7,2,Citizen
4080,0,Car,Female,40,College,94641,554,3,2,Citizen
4180,0,Home,Male,40,HS,74250,585,0,2,Citizen
4026,0,Home,Male,33,HS,74831,632,7,2,Citizen
4105,0,Car,Male,46,HS,91178,515,1,2,Citizen
4038,1,Home,Female,52,HS,124766,651,5,1,Non-citizen
4174,1,Car,Male,45,College,94922,668,1,2,Citizen
4181,0,Home,Male,46,HS,109811,586,9,2,Citizen
4025,1,Car,Male,53,College,105272,734,1,2,Citizen
4018,0,Car,Male,52,HS,118391,660,0,2,Citizen
4038,1,Home,Female,52,HS,124766,651,5,1,Non-citizen
4024,0,Car,Male,48,College,80096,618,0,2,Citizen
4042,0,Car,Male,46,College,103667,665,2,2,Citizen
4052,0,Car,Female,50,College,94940,632,2,1,Citizen
4203,0,Car,Male,43,HS,92747,515,0,2,Citizen
4167,0,Car,Male,48,HS,77928,573,0,2,Citizen
4051,0,Car,Male,51,College,118953,631,2,2,Citizen
4191,0,Home,Male,43,College,100380,534,8,2,Citizen
4038,1,Home,Female,52,HS,124766,651,5,1,Non-citizen
4171,0,Car,Female,46,HS,68912,639,0,2,Citizen
4025,1,Car,Male,53,College,105272,734,1,2,Citizen
4118,1,Car,Female,48,College,119099,622,2,2,Citizen
4067,0,Car,Male,42,HS,112966,606,2,2,Citizen
4060,0,Car,Female,36,College,111422,633,1,2,Citizen
4039,0,Home,Female,45,HS,112533,634,7,2,Citizen
4163,1,Car,Female,50,College,125988,608,1,2,Citizen
4121,0,Car,Male,32,HS,101480,689,2,2,Citizen
4118,1,Car,Female,48,College,119099,622,2,2,Citizen
4104,0,Car,Male,39,HS,104640,577,0,2,Citizen
4115,0,Car,Male,51,Graduate,87090,531,3,2,Citizen
4038,1,Home,Female,52,HS,124766,651,5,1,Non-citizen
4117,0,Car,Female,49,College,130963,637,3,2,Citizen
4216,0,Home,Male,35,HS,109580,574,11,2,Citizen
4211,0,Car,Female,30,College,77165,569,0,2,Citizen
4068,0,Car,Female,41,HS,73691,593,0,2,Citizen
4199,1,Car,Male,36,College,95288,580,2,2,Citizen
4028,0,Home,Male,50,HS,78033,613,8,2,Citizen
4106,0,Car,Male,50,HS,102734,655,1,2,Citizen
4091,0,Home,Male,36,College,87684,519,3,2,Citizen
4064,1,Car,Female,39,Graduate,123493,798,0,2,Non-citizen
4159,1,Car,Male,52,College,100687,583,2,2,Citizen
4049,0,Home,Male,38,HS,73682,606,2,2,Citizen
4169,1,Car,Female,45,Graduate,114196,664,3,2,Citizen
4153,0,Car,Male,47,College,112257,675,2,2,Citizen
4094,0,Car,Male,43,Graduate,86937,721,3,1,Citizen
4168,1,Home,Male,52,HS,113996,642,3,2,Citizen
4025,1,Car,Male,53,College,105272,734,1,2,Citizen
4178,0,Car,Male,44,HS,105223,624,2,2,Citizen
4022,0,Home,Male,44,HS,69194,617,1,2,Citizen
4118,1,Car,Female,48,College,119099,622,2,2,Citizen
4159,1,Car,Male,52,College,100687,583,2,2,Citizen
4161,0,Home,Female,37,HS,86052,533,10,2,Citizen
4023,0,Car,Female,52,HS,111167,576,0,2,Citizen
4093,0,Car,Male,35,HS,75703,544,0,2,Citizen
4070,0,Car,Male,50,HS,95095,678,1,2,Citizen
4034,0,Car,Female,48,College,108081,617,2,2,Citizen
4199,1,Car,Male,36,College,95288,580,2,2,Citizen
4168,1,Home,Male,52,HS,113996,642,3,2,Citizen
4199,1,Car,Male,36,College,95288,580,2,2,Citizen
4155,0,Car,Male,42,College,65241,488,2,2,Citizen
4113,0,Car,Male,45,College,100258,587,3,2,Citizen
4054,0,Car,Female,44,College,105999,577,2,2,Citizen
4116,0,Car,Male,45,HS,78112,552,0,2,Citizen
4212,1,Car,Male,40,College,90413,596,1,2,Citizen
4118,1,Car,Female,48,College,119099,622,2,2,Citizen
4189,0,Car,Female,50,College,116940,769,2,1,Citizen
4174,1,Car,Male,45,College,94922,668,1,2,Citizen
4066,0,Car,Male,41,College,77614,669,1,2,Citizen
4158,0,Home,Male,39,HS,72189,552,2,2,Citizen
4025,1,Car,Male,53,College,105272,734,1,2,Citizen
4152,0,Car,Male,43,HS,78999,488,2,2,Citizen
4108,0,Car,Male,42,HS,94175,522,1,2,Citizen
4038,1,Home,Female,52,HS,124766,651,5,1,Non-citizen
4027,0,Home,Male,42,HS,109229,656,8,2,Citizen
4139,0,Home,Male,44,HS,91088,547,7,2,Citizen
4064,1,Car,Female,39,Graduate,123493,798,0,2,Non-citizen
4201,0,Home,Male,43,HS,58963,599,3,2,Citizen
4159,1,Car,Male,52,College,100687,583,2,2,Citizen
4205,0,Car,Male,38,College,119064,677,2,2,Citizen
4037,0,Car,Male,51,College,100328,691,2,2,Citizen
4179,0,Car,Female,45,Graduate,104783,710,0,2,Citizen
4118,1,Car,Female,48,College,119099,622,2,2,Citizen
4081,0,Home,Male,34,HS,110183,589,4,1,Citizen
4025,1,Car,Male,53,College,105272,734,1,2,Citizen
4031,0,Car,Female,38,HS,107765,681,1,2,Citizen
4163,1,Car,Female,50,College,125988,608,1,2,Citizen
4072,0,Car,Male,42,HS,115419,617,2,1,Citizen
4062,0,Home,Male,41,HS,113113,548,9,2,Citizen
4078,0,Car,Male,44,HS,110218,694,3,2,Citizen
4109,0,Home,Male,45,College,94231,651,7,2,Citizen
4186,0,Car,Female,45,Graduate,102743,667,3,2,Non-citizen
4126,0,Car,Female,43,HS,93753,632,0,2,Citizen
4174,1,Car,Male,45,College,94922,668,1,2,Citizen
4146,0,Car,Male,48,College,86105,548,0,2,Citizen
4025,1,Car,Male,53,College,105272,734,1,2,Citizen
4144,0,Car,Female,33,HS,87615,481,2,2,Citizen
4200,0,Car,Female,38,HS,121538,518,0,2,Citizen
4130,0,Home,Male,38,HS,105208,720,6,2,Citizen
4159,1,Car,Male,52,College,100687,583,2,2,Citizen
4102,0,Home,Female,40,HS,114603,671,10,2,Citizen
4134,0,Car,Male,33,HS,77536,506,2,2,Citizen
4079,0,Car,Male,58,HS,99057,639,0,1,Citizen
4199,1,Car,Male,36,College,95288,580,2,2,Citizen
4075,0,Car,Male,47,College,111910,619,2,2,Citizen
4168,1,Home,Male,52,HS,113996,642,3,2,Citizen
4019,0,Car,Male,33,Graduate,92917,473,3,2,Citizen
4118,1,Car,Female,48,College,119099,622,2,2,Citizen
4087,0,Car,Female,50,College,108316,695,2,2,Citizen
4040,0,Home,Female,46,HS,103406,679,6,1,Citizen
4187,0,Home,Female,48,HS,126747,727,7,2,Citizen
4190,0,Car,Female,48,College,113270,647,2,2,Citizen
4204,0,Car,Male,50,HS,106163,483,2,1,Citizen
4156,0,Car,Male,54,HS,115416,685,2,2,Citizen
4077,0,Home,Male,33,HS,88818,422,3,2,Citizen
4168,1,Home,Male,52,HS,113996,642,3,2,Citizen
