ID,Default,Loan_type,Gender,Age,Degree,Income,Credit_score,Loan_length,Signers,Citizenship
4264,1,Home,Female,37,HS,140418,703,2,2,Citizen
4279,0,Home,Male,42,HS,132522,741,8,2,Citizen
4250,0,Car,Female,46,College,109803,670,2,2,Citizen
4241,1,Car,Female,52,Graduate,139008,792,1,2,Non-citizen
4256,0,Home,Female,44,HS,87484,633,4,2,Citizen
4331,0,Car,Female,48,College,109879,659,3,1,Citizen
4235,0,Home,Female,47,HS,106456,569,4,2,Citizen
4267,0,Car,Female,54,HS,155953,652,3,1,Citizen
4293,0,Car,Male,43,HS,107030,585,2,2,Citizen
4320,1,Car,Male,45,College,128576,710,1,2,Citizen
4238,0,Car,Male,46,HS,68861,601,2,2,Citizen
4262,0,Car,Female,42,HS,98440,566,0,2,Citizen
4259,1,Car,Male,57,College,129862,662,2,2,Citizen
4322,0,Home,Male,33,HS,94745,597,1,2,Citizen
4343,1,Home,Male,54,College,80685,611,6,2,Citizen
4341,0,Car,Male,40,HS,107593,505,0,2,Citizen
4219,1,Car,Female,45,HS,107278,771,0,2,Citizen
4260,0,Car,Female,46,HS,113718,653,0,2,Citizen
4274,0,Car,Female,43,College,96735,550,1,2,Citizen
4301,0,Car,Female,40,HS,107635,598,0,2,Citizen
4315,0,Home,Male,42,HS,102301,577,6,2,Citizen
4290,0,Home,Male,43,College,130079,559,9,2,Citizen
4320,1,Car,Male,45,College,128576,710,1,2,Citizen
4234,0,Car,Male,40,College,81439,576,0,2,Citizen
4241,1,Car,Female,52,Graduate,139008,792,1,2,Non-citizen
4224,0,Car,Male,45,HS,73079,602,0,2,Citizen
4292,0,Car,Male,42,HS,70969,632,0,2,Citizen
4310,0,Car,Male,25,HS,62105,453,0,2,Citizen
4355,0,Car,Male,37,HS,107586,687,1,2,Citizen
4354,0,Home,Female,46,College,107100,677,2,2,Citizen
